ID,mastercode,Code,Plot,Subplot,Stratum,Forest,Trunk perimenter (cm),tree ID,Notes-Trunk,Lianas,deadwood .,deadwood%,Bait/Bamboo Height(m)
51,NP1-S2-C3-CA,NP1-S2-C3,NP1-S2,C3,CA,Numba Primary,62,T51,,2,1,5,18
52,NP1-S2-C4-CA,NP1-S2-C4,NP1-S2,C4,CA,Numba Primary,233,T43,same as B4 CA,7,3,5,16
53,NP1-S2-C1-UN,NP1-S2-C1,NP1-S2,C1,UN,Numba Primary,12,T53,,0,0,5,1.5
54,NP1-S2-C2-UN,NP1-S2-C2,NP1-S2,C2,UN,Numba Primary,21,T54,,1,0,5,1.5
55,NP1-S2-C3-UN,NP1-S2-C3,NP1-S2,C3,UN,Numba Primary,83,T55,same as C2 CA,2,1,5,1.5
56,NP1-S2-C4-UN,NP1-S2-C4,NP1-S2,C4,UN,Numba Primary,34,T56,,3,4,10,1.5
57,NP1-S2-D1-CA,NP1-S2-D1,NP1-S2,D1,CA,Numba Primary,42,T57,,4,1,5,24
58,NP1-S2-D2-CA,NP1-S2-D2,NP1-S2,D2,CA,Numba Primary,54,T58,,2,3,10,15
59,NP1-S2-D3-CA,NP1-S2-D3,NP1-S2,D3,CA,Numba Primary,69,T59,same as D4 CA,5,2,5,22
60,NP1-S2-D4-CA,NP1-S2-D4,NP1-S2,D4,CA,Numba Primary,69,T59,same as D3 CA,5,2,5,23
61,NP1-S2-D1-UN,NP1-S2-D1,NP1-S2,D1,UN,Numba Primary,42,T61,,3,0,5,1.5
62,NP1-S2-D2-UN,NP1-S2-D2,NP1-S2,D2,UN,Numba Primary,34,T62,,0,1,5,1.5
63,NP1-S2-D3-UN,NP1-S2-D3,NP1-S2,D3,UN,Numba Primary,53,T63,,4,2,5,1.5
64,NP1-S2-D4-UN,NP1-S2-D4,NP1-S2,D4,UN,Numba Primary,13,T64,,2,1,5,1.5
